Unique_ID,Department,Number,Title,Credits,Description
a_hi-1113,a_hi,1113,The Understanding of Art,3 Credit Hours.,"Explanation and analysis of the principles underlying the visual arts. Consideration of formal, historical and other factors in the valuation and enjoyment of painting, sculpture, architecture and utilitarian objects. (F, Sp, Su) [IV-AF] 
."
a_hi-2014,a_hi,2014,Introduction to Art History,4 Credit Hours.,Students will be introduced to basic concepts in art and art history through a thematic study of global art. (Irreg.) [IV-AF].
a_hi-2213,a_hi,2213,Global Art I,3 Credit Hours.,The visual arts from the prehistoric through the Renaissance. (F) [IV-AF].
a_hi-2223,a_hi,2223,Global Art II,3 Credit Hours.,The visual arts from the Renaissance to the present. (Sp) [IV-AF].
a_hi-2930,a_hi,2930,Special Topics,2-6 Credit Hours.,2-6 hours.; Prerequisite:  Permission of instructor. May be repeated with change of topic; maximum credit 12 hours. Courses in special topics not offered in the established curriculum.  (Irreg.)
a_hi-2970,a_hi,2970,Special Topics/Seminar,1-3 Credit Hours.,"Special Topics. 1 to 3 hours. May be repeated; Maximum credit nine hours. Special topics course for content not currently offered in regularly scheduled courses. May include library and/or laboratory research, and field projects. (Irreg.)"
a_hi-3133,a_hi,3133,Survey of Aegean Art and Architecture,3 Credit Hours.,"Prerequisite: junior standing. Understanding of art and architecture of the Aegean civilization. The focus of the course will be on artistic production of the island of Crete and to a lesser extent Cycladic and Mycenaean achievements in the Bronze Age Greece. (alt. Sp) [IV-WC]
."
a_hi-3213,a_hi,3213,Classical Art and Archaeology: Greek Art to the Death of Alexander,3 Credit Hours.,"(Crosslisted withCL C 3213) Prerequisite: sophomore standing. Lectures, occasionally illustrated, and assigned readings. Survey of the architecture, sculpture, painting and minor arts in the Greek regions of the eastern Mediterranean in the successive stages of their development, with analyses of dominant styles and detailed study of select masterpieces and monuments. (F) [IV-AF] 

."
a_hi-3223,a_hi,3223,Classical Art and Archaeology:  Hellenistic Greek Art; Roman Art,3 Credit Hours.,"(Crosslisted withCL C 3223) Prerequisite: sophomore standing. Continuation of 3213. Survey of Hellenistic art, with particular attention to the individuality of style and diversity of matter. Early Etruscan and Roman art. The development of Roman art in native and assimilated forms; studies in domestic and national monuments. (Sp) [IV-AF]."
a_hi-3263,a_hi,3263,Survey of Byzantine Art and Architecture,3 Credit Hours.,Prerequisite: junior standing   A survey of Byzantine monuments from the foundation of Constantinople in 330 CE to its fall in 1453. (Sp-Alt) [IV-AF].
a_hi-3303,a_hi,3303,Renaissance Art in Italy 1200-1600,3 Credit Hours.,"Prerequisite: junior standing. Focuses on Renaissance art and architecture in Italy from a social and cultural framework, beginning in the 1200's and ending around 1580. (Irreg.) [IV-WC]."
a_hi-3313,a_hi,3313,Art and Culture in Italy,3 Credit Hours.,"Prerequisite: permission of department: acceptance to ""Journey to Italy"". Taught on-site in Italy as part of the ""Journey to Italy"" summer program in Arezzo. Students will study art from ancient Roman through the Baroque, with special focus on the Renaissance. (Irreg.) [IV-WC]."
a_hi-3403,a_hi,3403,Baroque Art and Architecture in Europe:1600-1700,3 Credit Hours.,"Prerequisite: junior standing; Covers art and architecture in Europe in the seventeenth century, during the time period called the Baroque. (Irreg.) [IV-WC]."
a_hi-3440,a_hi,3440,Mentored Research Experience,3 Credit Hours.,"0 to 3 hours. Prerequisites:ENGL 1113or equivalent, and permission of instructor. May be repeated; maximum credit 12 hours. For the inquisitive student to apply the scholarly processes of the discipline to a research or creative project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. (F, Sp, Su)"
a_hi-3603,a_hi,3603,American Art,3 Credit Hours.,Prerequisite: junior standing. American art from the colonial period to 1950. (Irreg.) [IV-WC].
a_hi-3663,a_hi,3663,Contemporary Art,3 Credit Hours.,Prerequisite: Junior standing. Focuses on contemporary art of the world with a strong emphasis on art made since 1989. (Irreg.)  [IV-AF].
a_hi-3673,a_hi,3673,History of Visual Communication,3 Credit Hours.,Prerequisite: junior standing. The history of visual communications and design from prehistoric times to the twentieth century. (Sp)
a_hi-3693,a_hi,3693,New Media Art,3 Credit Hours.,"Prerequisite: Junior standing. This course covers new media - video, installation, performance, and digital media - and technology in art since 1950. (Irreg.)  [IV-AF]."
a_hi-3733,a_hi,3733,Art of the American West,3 Credit Hours.,Prerequisite:ENGL 1213and junior standing. An introduction to the art of the American West accompanied by close study of relevant primary and scholarly texts. Students will be responsible for active participation in class discussion and for a series of short papers and assessments designed to develop skills in writing and historical interpretation. (Irreg.)
a_hi-3803,a_hi,3803,Pre-Columbian Art & Architecture of Meso- and South America,3 Credit Hours.,Prerequisite: junior standing. An overview of Pre-Columbian art and architecture in Meso-America from Prehistoric times until the Spanish intervention in the early 1500s. (F-alternate) [IV-NW].
a_hi-3833,a_hi,3833,Introduction to Native American Art,3 Credit Hours.,"Prerequisite: Junior standing. Introduces students to the aesthetic achievements of the great geo-cultural traditions of Native North America: Woodlands, Plains, Southwest, Northwest Coast, and the Arctic. Ancient, historic, modern, and contemporary works of art are studied in their cultural, religious, and political contexts, emphasizing indigenous world views. (Irreg.) [IV-NW]."
a_hi-3853,a_hi,3853,Survey of Asian Art,3 Credit Hours.,"Prerequisite: junior standing.  A survey of the art of India, China, and Japan. (Irreg.) [IV-NW]
."
a_hi-3903,a_hi,3903,"Art History, Theory and Practice",3 Credit Hours.,"Prerequisites:A HI 2213orA HI 2223, and junior standing. Introduction to the theory and practice of Art History required for the major involving consideration of the field's history, exposure to historical and contemporary approaches to its practice, and training in art historical writing and critical and visual analysis.(Irreg.)"
a_hi-3913,a_hi,3913,American Visual Culture,3 Credit Hours.,"Prerequisites: junior standing. Explores approaches to American visual culture, an interdisciplinary area of inquiry that considers the role of visual experience in everyday life. These include photography, cinema, television, digital media. and public art. We examine the key theorists, methodologies, and cultural practices that have shaped the field of Visual Culture Studies.(Irreg.)"
a_hi-3960,a_hi,3960,Honors Reading,1-3 Credit Hours.,"1 to 3 hours. Prerequisite: Admission to Honors Program. May be repeated; maximum credit six hours. Consists of topics designated by the instructor in keeping with the student's major program. The topics will cover materials not usually presented in the regular courses. (F, Sp, Su)"
a_hi-3970,a_hi,3970,Honors Seminar,1-3 Credit Hours.,1 to 3 hours. Prerequisite: admission to Honors Program. May be repeated; maximum credit six hours. Subjects covered vary. Deals with concepts not usually treated in regular courses. (Irreg.)
a_hi-3980,a_hi,3980,Honors Research,1-3 Credit Hours.,"1 to 3 hours. Prerequisite: Admission to Honors Program. May be repeated; maximum credit six hours. Will provide an opportunity for the gifted Honors candidate to work at a special project in the student's field. (F, Sp, Su)"
a_hi-3990,a_hi,3990,Independent Study,1-3 Credit Hours.,"1 to 3 hours. Prerequisite: permission of instructor and junior standing. May be repeated once with change of content. Independent study may be arranged to study a subject not available through regular course offerings. (F, Sp, Su)"
