,Credits,Departments,Description,Number,Title,Unique_ID
123,3 Credit Hours.,acct,"Prerequisite: Student must be approved for degree candidacy by Price College, or permission.ACCT 2113andACCT 2123with a minimum grade of C or better in each course. A study of the role of technology in accounting, focusing on the documentation, flow, and processing of accounting information in business. Gives an introduction to the various components of an information system and the necessary internal controls in complex business computing environments. Course includes data analytics and enterprise systems projects. (F, Sp)",3353,Accounting Information Systems/Databases,acct-3353
250,2 Credit Hours.,ame,"Prerequisite: 2113 or Engineering 2113; 3143 or concurrent enrollment. Measurement of displacement; velocity, acceleration, force, torque, strain, stress, data acquisition and processing; data analysis. Laboratory (F)",3112,Solid Mechanics Lab,ame-3112
422,3 Credit Hours.,anth,"Prerequisite: junior standing or 3 hours of ANTH. Explores how archaeologists identify and understand the religious practice and belief of people in the past. Focusing specifically on archaeological data, topics covered include inequality, ritual practice, materiality, symbolism, landscape and architectural perspectives, worldview and ontology, and the origins and evolution of religious ideas. (Irreg.)",4343,The Archaeology of Belief: Religion and Cosmology in the Past,anth-4343
424,3 Credit Hours.,anth,"Prerequisite: junior standing or 3 hours of ANTH. Examines the origins of human inequality using archaeological data. The focus will be on social and political inequality that emerged with the development of hierarchical societies, but will also address gender and age inequalities. (Irreg.)",4383,Archaeological Origins of Inequality,anth-4383
437,3 Credit Hours.,anth,"Prerequisite:DMAT 0123or satisfactory score on math placement exam. Covers the analysis of quantitative data focusing on exploratory data analysis; exploratory multivariate analysis; and the use of computers to collect, manipulate, graph, and understand data. Focuses on applied statistics as related to the types of data common to studying people which include social science and health data. (Irreg.) [I-M]
.",4683,Quantitative Data Analysis in the Social Sciences and Anthropology,anth-4683
438,3 Credit Hours.,anth,Prerequisite: junior standing or 3 hours of ANTH. An introduction to anthropological statistics. Emphasis will be placed on anthropological research design and analysis of anthropological data. (Irreg.),4713,Statistical Concepts in Anthropology,anth-4713
440,3 Credit Hours.,anth,"Prerequisite: junior standing or 3 hours of ANTH. Examines culture contact and colonialism using archaeological data. The main focus of the course will be on European colonialism in the new world, but other cases may be examined. Historical, ethnographic, and linguistic data will also be discussed. (Irreg.) [IV-NW]
.",4743,Culture Contact in the New World,anth-4743
441,3 Credit Hours.,anth,Prerequisite:ANTH 3113orANTH 3930or permission of instructor. Devoted to the laboratory phase of analyzing archaeological data derived from survey or excavation. The procedures and methods used for classifying and studying the raw data provided by the fieldwork. Laboratory (Irreg.),4763,"Archaeological Analysis: Methods, Theory and Practice",anth-4763
452,3 Credit Hours.,anth,"Prerequisite:ANTH 3203or permission of instructor. Allows the student to develop a basic familiarity with human skeletal remains, standard anatomical terminology, and methods and techniques of data collection. In turn, these osteological skills will provide a means to explore questions of human adaptability, variation, evolution, patterns of health and disease in prehistory, and the applicability of these findings to contemporary problems. (Irreg.)",4943,Human Osteology and Paleopathology,anth-4943
475,3 Credit Hours.,anth,"Prerequisite: graduate standing. Survey of ethnographic methods in anthropological research, with weekly fieldwork assignments and writing exercises. First half of class devoted to current theoretical debates, including the post-modern controversy and literary issues in classic ethnography. Second half of class devoted to hands-on research, including participant-observation, interviews, field notes, databases, and linguistic elicitation. (Irreg)",5213,Ethnographic Methods,anth-5213
487,3 Credit Hours.,anth,"Prerequisites: graduate standing. Explores how archaeologists identify and understand the religious practice and belief of people in the past. Focuses specifically on archaeological data. Topics covered include inequality, ritual practice, materiality, symbolism, landscape and architectural perspectives, worldview and ontology, and the origins and evolution of religious ideas. (Irreg.)",5353,Archaeology of Religion and Belief,anth-5353
499,3 Credit Hours.,anth,"Prerequisite: graduate standing. Introduces the theory and techniques of GIS, remote sensing, mapping, and GPS as it relates to anthropological fieldwork. The emphasis will be on topics related to and management of spatial data that is aimed specifically at the archaeologist or cultural anthropologist expecting to use GIS in the course of their research or applied work. (Irreg.)",5593,Spatial Methods and Technologies in Anthropology,anth-5593
503,3 Credit Hours.,anth,"Prerequisite: 5623 or permission of instructor. May be repeated; maximum credit six hours. Continued exploration of field methods in linguistic anthropology, with emphasis on developing the materials for a dictionary, grammatical description and morphology and syntax of language introduced in 5623. Also covers computerized databases. (Irreg.)",5633,Descriptive Linguistic Methods II,anth-5633
506,3 Credit Hours.,anth,"Prerequisite: Graduate standing. The goal of this seminar is to provide a supportive space for discussing the craft of writing, sharing tips for organizing data, and critiquing drafts of works in progress. Every student will be required to circulate thesis chapters, which will form the texts for the seminar. (Irreg.)",5693,Thesis/Dissertation Writing,anth-5693
527,1-3 Credit Hours.,anth,"1 to 3 hours. May be repeated; maximum credit 12 hours. Permits the student to investigate a specific problem in terms of currently available data. It may be within any field of anthropology recommended by the instructor or adviser. (F, Sp, Su)",5990,Special Anthropological Problems,anth-5990
