,Credits,Departments,Description,Number,Title,Unique_ID
17,3 Credit Hours.,a_hi,"Prerequisite: Junior standing. This course covers new media - video, installation, performance, and digital media - and technology in art since 1950. (Irreg.)  [IV-AF].",3693,New Media Art,a_hi-3693
23,3 Credit Hours.,a_hi,"Prerequisites: junior standing. Explores approaches to American visual culture, an interdisciplinary area of inquiry that considers the role of visual experience in everyday life. These include photography, cinema, television, digital media. and public art. We examine the key theorists, methodologies, and cultural practices that have shaped the field of Visual Culture Studies.(Irreg.)",3913,American Visual Culture,a_hi-3913
180,3 Credit Hours.,afam,"This course focuses on the issue of the digital divide and the impact of computer illiteracy in today's society, with special focus on developing regions of Africa. The lack of access to communication technologies, including personal computers and the internet, is examined as an obstacle to the economic, social and political development in these regions. Focus is directed to theory and application. (Irreg.)",2913,Perspectives on the Digital Divide: Theory and Application,afam-2913
248,3 Credit Hours.,ame,"Prerequisite:PHYS 2514;MATH 1823or1914;MATH 2423or2924; andCHEM 1315all with a minimum grade of C or better with an overall average of 3.0 in these four courses - AP credit accepted and weighted based upon score;MATH 3413and3401or concurrent enrollment;PHYS 2524or concurrent enrollment; Majors only. Formulation and solution of circuit equations, network theorems, sinusoidal steady-state analysis, simple transients. Introduction to digital logic circuits. Physical principles of sensing and actuation. Applications to engineered systems of computer programming, embedded systems, and controls. (Sp)",2623,Circuits and Sensors,ame-2623
264,3 Credit Hours.,ame,"Prerequisites:AME 2402orCH E 2002or ENGR 2003 orC S 1313orC S 1323, andMATH 3113orMATH 3413. Course uses specific software applications tailored toward aerospace and mechanical engineering. Basic methods for obtaining numerical solutions with a digital computer. Included are methods for the solutions of algebraic and transcendental equations, simultaneous linear equations, ordinary and partial differential equations, and curve fitting techniques. The methods are compared with respect to computational efficiency and accuracy. Any student who earns credit forAME 3723cannot receive duplicate credit for C S 3723,CH E 3723, orP E 3723. This course may not be taken for graduate credit within the College of Engineering. (F)",3723,Numerical Methods For Engineering Computation,ame-3723
566,5 Credit Hours.,arch,"Prerequisite: Co-requisites:ARCH 1163or permission of director. Development of foundational design and representational skills, and graphic conventions including sketching and digital methods. The course introduces processes of Creating-Making through methods engaged in critical thinking and experiential knowing. Methods of composition are introduced and explored: design elements and principles, proportion and scale, ordering systems, and organizational strategies. Introduction to issues of craft and material engagement. (F)",1155,Design I- Design Fundamentals,arch-1155
606,3 Credit Hours.,arch,"(Slashlisted withARCH 5773) Prerequisite: senior standing or permission of instructor. Computational design allows architects to explore tectonics and space in relationship to various data sets such as environmental, programmatic, and material. Computational design is a design strategy where architects incorporate ideas from fields such as mathematics, computer science, system science, morphogenesis and evolution. The class will examine the work flow from computational design through to digital fabrication. Students may not earn credit for both 4773 and 5773. (F)",4773,Computational Design and Fabrication,arch-4773
644,3 Credit Hours.,arch,"(Slashlisted withARCH 4773) Prerequisite: Graduate standing or instructor permission. Computational design allows architects to explore tectonics and space in relationship to various data sets such as environmental, programmatic, and material. Computational design is a design strategy where architects incorporate ideas from fields such as mathematics, computer science, system science, morphogenesis and evolution. The class will examine the work flow from computational design through to digital fabrication. No student may earn credit for both 4773 and 5773. (F)",5773,Computational Design and Fabrication,arch-5773
691,3 Credit Hours.,art,"Prerequisites: majors only;ART 1033andART 1043. This course will introduce students to the methods of creating sculptural and designed objects. This includes material exploration, space investigation and digital fabrication technologies associated with object making. Material relationships, craft, scale, and content will be fundamental aspects covered during the semester. Students will be encouraged to formulate elements of self-expression, topical research associated with specific projects, and develop a vocabulary for constructive communication and criticism. (Irreg.)",2533,"Sculpture: Material, Space, and Process",art-2533
697,3 Credit Hours.,art,"Prerequisite: majors only; ART 1013, ART 1023, ART 1113, ARTC 1003, ARTC 1103. Emphasis on developing video production and post-production skills. Training exercises in studio and field production, camera work, lighting and sound. Instruction and practice in analog and digital editing. Exploration of digital media. Students will produce a number of short projects. (Irreg.)",2873,Video for the Artist I,art-2873
708,3 Credit Hours.,art,"Prerequisites: majors only; junior standing;ART 2533. Focuses on digital fabrication technologies associated with CAD modeling and vector based digital production. Students will be involved in developing projects that will be constructed using a variety of 3D printing and CNC technologies using plastic, acrylic, metal, wood, and fabrics. Students will be expected to develop a vocabulary of digital production as it relates to contemporary art and design. (Irreg.)",3533,Sculpture: Digital Fabrication for Artists and Designers,art-3533
710,3 Credit Hours.,art,"Prerequisites: majors only; junior standing;ART 2533. Investigate function as a means for creative experience and interaction. This includes furniture design, product development, utilitarian objects, and other associated objects that exist functionally within our environment. Design principles, construction techniques, and craft will be emphasized. Students will employ traditional construction techniques as well as digital fabrication to plan, design and build projects that approach utility from various practical and experimental approaches. (Irreg.)",3563,Sculpture: Functional Design Studio,art-3563
712,3 Credit Hours.,art,"Prerequisite: majors only;ART 2743. May be repeated; maximum credit 6 hours. Intensive instruction in screen, photo, and technology based print processes including screenprinting, photopolymer plate making, and digitally assisted relief printing. Students work from photographic, technology derived, and hand drawn source materials and explore various means of translating them to print. Instructors place an emphasis on technical and conceptual improvement as well as building consistency in student work. (F, Sp)",3753,Intermediate Printmaking II,art-3753
